times,sauna,lüftung,gastronomie,gesundheitspark,technik,gesamt
01-11-2013 00:00:00,2450.3,20476.4,2654.8,23657.8,19135.7,102666.7
01-11-2013 00:15:00,2204.1,20495.9,2656.8,29357.7,25227.5,100000.0
01-11-2013 00:30:00,2811.5,20311.6,2570.5,24399.9,38332.4,106666.7
01-11-2013 00:45:00,2059.3,20504.0,2557.3,25287.2,38206.6,120000.0
01-11-2013 01:00:00,1678.7,20491.8,2373.3,25478.4,37643.1,121333.3
01-11-2013 01:15:00,2428.8,20494.8,2152.8,24345.6,37096.5,117333.3
01-11-2013 01:30:00,2023.1,20465.4,2173.1,24241.3,37732.4,117333.3
01-11-2013 01:45:00,2854.8,20282.9,2335.4,23987.9,37181.6,118666.7
01-11-2013 02:00:00,1982.8,20438.1,2632.4,24390.7,37208.7,117333.3
01-11-2013 02:15:00,1780.6,20491.7,2429.0,25590.5,36970.3,114666.7
01-11-2013 02:30:00,2420.4,20471.8,2323.0,26439.8,37065.1,114666.7
01-11-2013 02:45:00,2192.1,20487.5,2325.2,25182.5,37478.6,116000.0
01-11-2013 03:00:00,2749.0,20487.9,2182.8,24024.6,23471.0,114666.7
01-11-2013 03:15:00,1564.2,20204.5,2315.3,23000.2,18383.8,102666.7
01-11-2013 03:30:00,2140.6,20414.5,2222.4,25909.8,18598.8,93333.3
01-11-2013 03:45:00,2340.1,20431.0,2189.6,22701.6,16264.8,94666.7
01-11-2013 04:00:00,2128.2,20415.4,2213.6,43238.7,18841.9,92000.0
01-11-2013 04:15:00,2560.1,20416.3,2231.6,36803.3,16499.8,105333.3
01-11-2013 04:30:00,1441.2,20236.3,2548.0,36123.9,18479.7,101333.3
01-11-2013 04:45:00,3419.8,20414.1,2289.5,44634.2,16160.9,102666.7
01-11-2013 05:00:00,4753.5,20346.8,2363.7,41476.2,18888.1,113333.3
01-11-2013 05:15:00,4544.2,20321.9,3382.5,43441.9,18499.3,126666.7
01-11-2013 05:30:00,4418.5,20311.3,14349.2,44774.7,16337.2,128000.0
01-11-2013 05:45:00,4660.1,20110.4,18421.2,46230.1,18854.4,140000.0
01-11-2013 06:00:00,5445.8,20295.0,26653.0,56280.1,23178.6,149333.3
01-11-2013 06:15:00,4619.9,20303.5,19216.9,61122.2,26468.4,172000.0
01-11-2013 06:30:00,4174.5,20325.9,10464.8,54515.3,24180.2,178666.7
01-11-2013 06:45:00,4759.4,20331.9,10158.0,53000.6,26037.2,160000.0
01-11-2013 07:00:00,4525.5,20136.2,17600.3,54953.3,26617.4,158666.7
01-11-2013 07:15:00,5541.3,20299.0,24315.3,44969.9,23982.3,173333.3
01-11-2013 07:30:00,4711.5,20293.7,33547.1,44797.1,27204.4,173333.3
01-11-2013 07:45:00,4203.0,20256.2,30796.6,51922.2,32478.9,186666.7
01-11-2013 08:00:00,14332.6,20248.6,40297.4,61232.7,61088.7,203333.3
01-11-2013 08:15:00,34898.3,20394.0,41276.6,51443.2,60618.2,248000.0
01-11-2013 08:30:00,28636.7,20234.8,38054.6,46849.1,60168.7,262666.7
01-11-2013 08:45:00,23186.8,20438.3,31547.2,42666.6,60336.5,246666.7
01-11-2013 09:00:00,21653.3,20340.7,36398.2,43218.1,60401.1,233333.3
01-11-2013 09:15:00,23457.0,20307.6,35607.8,47250.2,60339.5,234666.7
01-11-2013 09:30:00,20260.0,20329.6,29155.8,40326.2,59764.7,244000.0
01-11-2013 09:45:00,18134.1,20133.7,37530.6,45215.4,59836.3,225333.3
01-11-2013 10:00:00,18873.5,20296.9,33825.9,40644.7,59983.9,236000.0
01-11-2013 10:15:00,17124.4,20304.7,34124.5,40978.9,59990.9,230666.7
01-11-2013 10:30:00,17811.5,20292.5,41011.5,36856.4,44427.3,232000.0
01-11-2013 10:45:00,21265.1,20270.9,37586.7,45557.1,41466.9,225333.3
01-11-2013 11:00:00,22013.0,20074.8,49360.0,37370.2,41376.3,220000.0
01-11-2013 11:15:00,21200.8,20251.1,32127.1,36407.8,39115.7,224000.0
01-11-2013 11:30:00,18412.2,20271.6,29243.9,33733.2,41603.3,214666.7
01-11-2013 11:45:00,20195.3,20265.7,35351.7,37784.7,39425.2,201333.3
01-11-2013 12:00:00,20935.9,20236.8,28222.3,36637.7,41425.1,209333.3
01-11-2013 12:15:00,15645.0,20023.2,48018.4,34132.2,39240.9,204000.0
01-11-2013 12:30:00,16053.8,20159.0,46355.8,36616.9,41146.1,217333.3
01-11-2013 12:45:00,17866.1,20211.4,55635.5,37780.1,40164.5,217333.3
01-11-2013 13:00:00,18501.1,20195.3,52690.0,38689.5,40665.8,233333.3
01-11-2013 13:15:00,15594.6,20216.7,43965.3,36227.4,41506.3,237333.3
01-11-2013 13:30:00,15471.5,20221.5,37542.9,39654.8,39247.3,222666.7
01-11-2013 13:45:00,15542.0,20034.1,30580.6,43786.8,41712.4,216000.0
01-11-2013 14:00:00,15794.5,20222.7,41287.2,36745.7,39399.5,208000.0
01-11-2013 14:15:00,14833.7,20248.2,32937.8,37067.8,41630.3,212000.0
01-11-2013 14:30:00,15464.5,20256.4,30192.8,41055.7,39823.9,204000.0
01-11-2013 14:45:00,17246.0,20249.6,28403.9,39534.7,42103.1,202666.7
01-11-2013 15:00:00,20128.2,20052.0,31571.8,35558.6,41388.8,201333.3
01-11-2013 15:15:00,16845.5,20245.7,38198.7,46876.5,39708.6,204000.0
01-11-2013 15:30:00,20701.6,20243.6,42133.7,37279.3,41903.2,216000.0
